#organism	#division	#name	#tree	#NCBI-taxid
dno	DNO	Dasypus novemcinctus	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Mammalia;Cingulata;	9361
mle	MLE	Melibe leonina	Metazoa;Bilateria;Lophotrochozoa;Mollusca;	76178
ete	ETE	Echinops telfairi	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Mammalia;Afrotheria;	9371
smi	SMI	Salvia miltiorrhiza	Viridiplantae;Magnoliophyta;eudicotyledons;Lamiales;	226208
mmr	MMR	Microcebus murinus	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Mammalia;Primates;Cheirogaleidae;	30608
dma	DMA	Daubentonia madagascariensis	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Mammalia;Primates;Daubentoniidae;	31869
nle	NLE	Nomascus leucogenys	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Mammalia;Primates;Hylobatidae;	61853
sbo	SBO	Saimiri boliviensis	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Mammalia;Primates;Cebidae;	39432
oga	OGA	Otolemur garnettii	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Mammalia;Primates;Galagidae;	30611
pha	PHA	Papio hamadryas	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Mammalia;Primates;Cercopithecidae;	9557
nfu	NFU	Nothobranchius furzeri	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Teleostei;	105023
aof	AOF	Asparagus officinalis	Viridiplantae;Magnoliophyta;monocotyledons;	4686
apa	APA	Aiptasia pallida	Metazoa;Cnidaria;	1720309
smc	SMC	Symbiodinium microadriaticum	Alveolata;	2951
